[2025-04-10 11:59:39,775] INFO: Logged in as: an08
[2025-04-10 11:59:40,734] INFO: User 'an08' logging in (authenticated mode).
[2025-04-10 11:59:42,772] ERROR: Unable to connect to Tracker: [WinError 10061] No connection could be made because the target machine actively refused it
[2025-04-10 11:59:42,774] INFO: UDP LISTENER listening on 127.0.0.1:7082 for UDP livestream.
[2025-04-10 11:59:42,776] INFO: P2P SERVER listening on 127.0.0.1:7081
[2025-04-10 11:59:50,431] INFO: Sending message: nice mas m
[2025-04-10 11:59:50,539] INFO: Message from an08 sent in channel 'test1'
[2025-04-10 12:00:23,085] INFO: User an08 logged out
[2025-04-10 14:24:02,108] INFO: User an08 logged in successfully
[2025-04-10 14:24:02,108] INFO: Logged in as: an08
[2025-04-10 14:24:03,159] INFO: User 'an08' logging in (authenticated mode).
[2025-04-10 14:24:05,179] ERROR: Unable to connect to Tracker: [WinError 10061] No connection could be made because the target machine actively refused it
[2025-04-10 14:24:05,179] INFO: P2P SERVER listening on 127.0.0.1:8529
[2025-04-10 14:24:05,179] INFO: UDP LISTENER listening on 127.0.0.1:8530 for UDP livestream.
[2025-04-10 14:24:46,048] INFO: Sending message: ddee them
[2025-04-10 14:24:46,151] INFO: Message from an08 sent in channel 'test1'
[2025-04-10 14:27:39,871] INFO: User an08 joined channel 'test1'
[2025-04-10 14:35:28,804] INFO: User an08 logged out
[2025-04-10 14:35:43,708] INFO: User an08 logged in successfully
[2025-04-10 14:35:43,708] INFO: Logged in as: an08
[2025-04-10 14:35:44,518] INFO: User 'an08' logging in (authenticated mode).
[2025-04-10 14:35:46,554] ERROR: Unable to connect to Tracker: [WinError 10061] No connection could be made because the target machine actively refused it
[2025-04-10 14:35:46,555] INFO: P2P SERVER listening on 127.0.0.1:6500
[2025-04-10 14:35:46,555] INFO: UDP LISTENER listening on 127.0.0.1:6501 for UDP livestream.
[2025-04-10 14:36:05,161] INFO: Channel 'cs2' deleted by an08
[2025-04-10 14:36:37,462] INFO: User an08 logged out
[2025-04-10 14:56:22,552] INFO: User an08 logged in successfully
[2025-04-10 14:56:22,552] INFO: Logged in as: an08
[2025-04-10 14:56:23,644] INFO: User 'an08' logging in (authenticated mode).
[2025-04-10 14:56:25,674] ERROR: Unable to connect to Tracker: [WinError 10061] No connection could be made because the target machine actively refused it
[2025-04-10 14:56:25,678] INFO: P2P SERVER listening on 127.0.0.1:7008
[2025-04-10 14:56:25,678] INFO: UDP LISTENER listening on 127.0.0.1:7009 for UDP livestream.
[2025-04-10 14:56:42,498] ERROR: Error creating channel: Channel already exists
[2025-04-10 14:58:34,843] INFO: User an08 logged out
[2025-04-10 14:58:50,662] INFO: User an08 logged in successfully
[2025-04-10 14:58:50,664] INFO: Logged in as: an08
[2025-04-10 14:58:52,011] INFO: User 'an08' logging in (authenticated mode).
[2025-04-10 14:58:54,031] ERROR: Unable to connect to Tracker: [WinError 10061] No connection could be made because the target machine actively refused it
[2025-04-10 14:58:54,033] INFO: P2P SERVER listening on 127.0.0.1:6225
[2025-04-10 14:58:54,035] INFO: UDP LISTENER listening on 127.0.0.1:6226 for UDP livestream.
[2025-04-10 15:01:14,508] INFO: User an08 logged in successfully
[2025-04-10 15:01:14,508] INFO: Logged in as: an08
[2025-04-10 15:01:15,980] INFO: User 'an08' logging in (authenticated mode).
[2025-04-10 15:01:18,016] ERROR: Unable to connect to Tracker: [WinError 10061] No connection could be made because the target machine actively refused it
[2025-04-10 15:01:18,016] INFO: P2P SERVER listening on 127.0.0.1:6595
[2025-04-10 15:01:18,018] INFO: UDP LISTENER listening on 127.0.0.1:6596 for UDP livestream.
[2025-04-10 15:01:25,933] INFO: Channel '4' created by an08 (allow_visitor=True)
[2025-04-10 15:01:38,038] INFO: Channel '3' deleted by an08
[2025-04-10 15:01:55,543] INFO: Channel '4' deleted by an08
[2025-04-10 15:02:09,955] INFO: Channel '5' created by an08 (allow_visitor=True)
[2025-04-10 15:02:40,394] INFO: User an08 logged out
[2025-04-10 15:02:44,806] INFO: User an09 logged in successfully
[2025-04-10 15:02:44,808] INFO: Logged in as: an09
[2025-04-10 15:02:45,531] INFO: User 'an09' logging in (authenticated mode).
[2025-04-10 15:02:47,568] ERROR: Unable to connect to Tracker: [WinError 10061] No connection could be made because the target machine actively refused it
[2025-04-10 15:02:47,571] INFO: P2P SERVER listening on 127.0.0.1:7367
[2025-04-10 15:02:47,571] INFO: UDP LISTENER listening on 127.0.0.1:7368 for UDP livestream.
[2025-04-10 15:02:51,733] INFO: Sending message: saffds
[2025-04-10 15:02:51,833] INFO: Message from an09 sent in channel '5'
[2025-04-10 15:02:54,063] INFO: Sending message: asdfdfasdf
[2025-04-10 15:02:54,165] INFO: Message from an09 sent in channel '5'
[2025-04-10 15:02:57,129] INFO: Sending message: dasfdsaf
[2025-04-10 15:02:57,229] INFO: Message from an09 sent in channel '5'
[2025-04-10 15:03:11,800] INFO: User an09 joined public channel '5'
[2025-04-10 15:03:14,407] INFO: Sending message: dsaf
[2025-04-10 15:03:14,509] INFO: Message from an09 sent in channel '5'
[2025-04-10 15:03:16,514] INFO: User an09 logged out
[2025-04-10 15:06:23,634] INFO: Logged in as Viewer: Viewer
[2025-04-10 15:06:23,638] INFO: User 'Viewer' logging in (visitor mode).
[2025-04-10 15:06:25,651] ERROR: Unable to connect to Tracker: [WinError 10061] No connection could be made because the target machine actively refused it
[2025-04-10 15:06:25,651] INFO: P2P SERVER listening on 127.0.0.1:8700
[2025-04-10 15:06:25,651] INFO: UDP LISTENER listening on 127.0.0.1:8701 for UDP livestream.
[2025-04-10 15:06:30,053] INFO: User Viewer joined public channel 'Hi Back'
[2025-04-10 15:08:39,491] INFO: User an08 logged in successfully
[2025-04-10 15:08:39,491] INFO: Logged in as: an08
[2025-04-10 15:08:40,638] INFO: User 'an08' logging in (authenticated mode).
[2025-04-10 15:08:42,666] ERROR: Unable to connect to Tracker: [WinError 10061] No connection could be made because the target machine actively refused it
[2025-04-10 15:08:42,669] INFO: P2P SERVER listening on 127.0.0.1:8514
[2025-04-10 15:08:42,671] INFO: UDP LISTENER listening on 127.0.0.1:8515 for UDP livestream.
[2025-04-10 15:08:53,101] INFO: Channel '6' created by an08 (allow_visitor=True)
[2025-04-10 15:08:56,698] INFO: Sending message: 12
[2025-04-10 15:09:00,402] INFO: Sending message: 3223
[2025-04-10 15:09:06,508] INFO: Sending message: 23
[2025-04-10 15:09:06,615] INFO: Message from an08 sent in channel '6'
[2025-04-10 15:09:09,207] INFO: User an08 logged out
[2025-04-10 15:09:13,618] INFO: User an09 logged in successfully
[2025-04-10 15:09:13,618] INFO: Logged in as: an09
[2025-04-10 15:09:14,360] INFO: User 'an09' logging in (authenticated mode).
[2025-04-10 15:09:16,404] ERROR: Unable to connect to Tracker: [WinError 10061] No connection could be made because the target machine actively refused it
[2025-04-10 15:09:16,404] INFO: P2P SERVER listening on 127.0.0.1:7417
[2025-04-10 15:09:16,408] INFO: UDP LISTENER listening on 127.0.0.1:7418 for UDP livestream.
[2025-04-10 15:09:20,208] INFO: Sending message: asddf
[2025-04-10 15:09:20,305] INFO: Message from an09 sent in channel '6'
[2025-04-10 15:09:21,908] INFO: Sending message: adfas
[2025-04-10 15:09:22,001] INFO: Message from an09 sent in channel '6'
[2025-04-10 15:09:24,348] INFO: Sending message: asfsad
[2025-04-10 15:09:24,438] INFO: Message from an09 sent in channel '6'
[2025-04-10 15:09:28,358] INFO: User an09 joined public channel '6'
[2025-04-10 15:09:31,874] INFO: User an09 logged out
[2025-04-10 15:09:36,328] INFO: User an08 logged in successfully
[2025-04-10 15:09:36,328] INFO: Logged in as: an08
[2025-04-10 15:09:37,194] INFO: User 'an08' logging in (authenticated mode).
[2025-04-10 15:09:39,228] ERROR: Unable to connect to Tracker: [WinError 10061] No connection could be made because the target machine actively refused it
[2025-04-10 15:09:39,228] INFO: P2P SERVER listening on 127.0.0.1:7350
